Preference Index 0 - No Decomposer,Preference Index 0 - Decomposer,Preference Index 1 - No Decomposer,Preference Index 1 - Decomposer,Preference Index 2 - No Decomposer,Preference Index 2 - Decomposer,Preference Index 3 - No Decomposer,Preference Index 3 - Decomposer,Preference Index 4 - No Decomposer,Preference Index 4 - Decomposer,Preference Index 5 - No Decomposer,Preference Index 5 - Decomposer,Preference Index 6 - No Decomposer,Preference Index 6 - Decomposer,Preference Index 7 - No Decomposer,Preference Index 7 - Decomposer,Preference Index 8 - No Decomposer,Preference Index 8 - Decomposer,Preference Index 9 - No Decomposer,Preference Index 9 - Decomposer,Preference Index 10 - No Decomposer,Preference Index 10 - Decomposer,Preference Index 11 - No Decomposer,Preference Index 11 - Decomposer,Preference Index 12 - No Decomposer,Preference Index 12 - Decomposer,Preference Index 13 - No Decomposer,Preference Index 13 - Decomposer,Preference Index 14 - No Decomposer,Preference Index 14 - Decomposer,Preference Index 15 - No Decomposer,Preference Index 15 - Decomposer,Preference Index 16 - No Decomposer,Preference Index 16 - Decomposer,Preference Index 17 - No Decomposer,Preference Index 17 - Decomposer,Preference Index 18 - No Decomposer,Preference Index 18 - Decomposer,Preference Index 19 - No Decomposer,Preference Index 19 - Decomposer
,,,,,,,,,,,,"['soup', 2.5, 5.0, 7.5, 120.0, 4.0]","['soup', 2.0, 5.0, 7.0, 115.0, 5.5]","['fish', 5.0, 5.0, 5.0, 90.0, 5.0]","['fish', 4.0, 5.0, 5.0, 90.0, 5.0]","['rice', 5.0, 5.0, 10.0, 90.0, 3.0]","['rice', 5.0, 5.0, 10.0, 90.0, 1.0]","['egg', 5.0, 5.0, 7.5, 90.0, 5.0]","['egg', 5.0, 5.0, 7.5, 90.0, 5.0]","['beef', 5.0, 5.0, 5.0, 90.0, 5.0]","['beef', 5.0, 5.0, 5.0, 90.0, 3.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['rice', 5.0, 5.0, 7.5, 90.0, 5.0]","['rice', 5.0, 5.0, 7.5, 100.0, 5.0]","['fish', 5.0, 5.0, 5.0, 90.0, 5.0]","['salad', 3.5, 5.0, 7.0, 100.0, 5.0]","['carrots', 5.0, 5.0, 10.0, 90.0, 3.0]","['carrots', 5.0, 5.0, 10.0, 90.0, 1.0]","['chicken', 5.0, 5.0, 7.5, 90.0, 5.0]","['chicken', 5.0, 5.0, 7.5, 90.0, 5.0]","['beef', 5.0, 5.0, 5.0, 90.0, 5.0]","['beef', 5.0, 5.0, 5.0, 90.0, 3.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['carrots', 5.0, 5.0, 7.5, 90.0, 5.0]","['carrots', 5.0, 5.0, 7.5, 105.0, 5.0]","['salad', 4.0, 5.0, 7.5, 85.0, 5.0]","['fish', 4.0, 5.0, 5.0, 90.0, 5.0]","['peas', 5.0, 5.0, 10.0, 90.0, 3.0]","['peas', 5.0, 5.0, 10.0, 90.0, 1.0]","['broccoli', 5.0, 5.0, 8.5, 90.0, 5.0]","['broccoli', 5.0, 5.0, 10.0, 90.0, 5.0]","['rice', 5.0, 5.0, 7.0, 90.0, 4.0]","['beef', 5.0, 5.0, 5.0, 90.0, 3.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['rice', 5.0, 5.0, 7.5, 90.0, 5.0]","['soup', 2.5, 5.0, 7.0, 115.0, 5.5]","['salad', 4.0, 5.0, 7.5, 85.0, 5.0]","['salad', 3.0, 5.0, 7.0, 100.0, 5.0]","['carrots', 5.0, 5.0, 10.0, 90.0, 3.0]","['rice', 5.0, 5.0, 10.0, 90.0, 1.0]","['chicken', 5.0, 5.0, 7.5, 90.0, 5.0]","['chicken', 5.0, 5.0, 7.5, 90.0, 5.0]","['rice', 5.0, 5.0, 7.0, 90.0, 4.0]","['rice', 5.0, 5.0, 6.0, 90.0, 2.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['carrots', 5.0, 5.0, 7.5, 90.0, 5.0]","['rice', 5.0, 5.0, 7.5, 100.0, 5.0]","['salad', 4.0, 5.0, 7.5, 85.0, 5.0]","['salad', 2.5, 5.0, 7.0, 100.0, 5.0]","['peas', 5.0, 5.0, 10.0, 90.0, 3.0]","['carrots', 5.0, 5.0, 10.0, 90.0, 1.0]","['broccoli', 5.0, 5.0, 8.5, 90.0, 5.0]","['broccoli', 5.0, 5.0, 10.0, 90.0, 5.0]","['rice', 5.0, 5.0, 7.0, 90.0, 4.0]","['rice', 5.0, 5.0, 6.0, 90.0, 2.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['soup', 2.5, 5.0, 7.5, 120.0, 4.0]","['carrots', 5.0, 5.0, 7.5, 105.0, 5.0]","['salad', 4.0, 5.0, 7.5, 85.0, 5.0]","['salad', 2.0, 5.0, 7.0, 100.0, 5.0]","['rice', 5.0, 5.0, 10.0, 90.0, 3.0]","['peas', 5.0, 5.0, 10.0, 90.0, 1.0]","['egg', 5.0, 5.0, 7.5, 90.0, 5.0]","['egg', 5.0, 5.0, 7.5, 90.0, 5.0]","['soup', 5.0, 5.0, 7.0, 90.0, 4.0]","['rice', 5.0, 5.0, 6.0, 90.0, 2.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['rice', 5.0, 5.0, 7.5, 90.0, 5.0]","['soup', 2.7, 5.0, 7.0, 115.0, 5.5]","['salad', 4.0, 5.0, 7.5, 85.0, 5.0]","['salad', 1.5, 5.0, 7.0, 100.0, 5.0]","['carrots', 5.0, 5.0, 10.0, 90.0, 3.0]","['carrots', 5.0, 5.0, 10.0, 90.0, 1.0]","['chicken', 5.0, 5.0, 7.5, 90.0, 5.0]","['chicken', 5.0, 5.0, 7.5, 90.0, 5.0]","['rice', 5.0, 5.0, 7.0, 90.0, 4.0]","['rice', 5.0, 5.0, 6.0, 90.0, 2.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['carrots', 5.0, 5.0, 7.5, 90.0, 5.0]","['rice', 5.0, 5.0, 7.5, 100.0, 5.0]","['salad', 4.0, 5.0, 7.5, 85.0, 5.0]","['salad', 1.0, 5.0, 7.0, 100.0, 5.0]","['peas', 5.0, 5.0, 10.0, 90.0, 3.0]","['peas', 5.0, 5.0, 10.0, 90.0, 1.0]","['broccoli', 5.0, 5.0, 8.5, 90.0, 5.0]","['broccoli', 5.0, 5.0, 10.0, 90.0, 5.0]","['soup', 5.0, 5.0, 7.0, 90.0, 4.0]","['beef', 5.0, 5.0, 5.0, 90.0, 3.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['soup', 2.5, 5.0, 7.5, 120.0, 4.0]","['carrots', 5.0, 5.0, 7.5, 105.0, 5.0]","['salad', 4.0, 5.0, 7.5, 85.0, 5.0]","['fish', 4.0, 5.0, 5.0, 90.0, 5.0]","['rice', 5.0, 5.0, 10.0, 90.0, 3.0]","['rice', 5.0, 5.0, 10.0, 90.0, 1.0]","['chicken', 5.0, 5.0, 7.5, 90.0, 5.0]","['chicken', 5.0, 5.0, 7.5, 90.0, 5.0]","['beef', 5.0, 5.0, 7.0, 90.0, 5.0]","['soup', 5.0, 5.0, 5.0, 95.0, 2.0]",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['rice', 5.0, 5.0, 7.5, 90.0, 5.0]","['soup', 3.0, 5.0, 7.0, 115.0, 5.5]","['fish', 5.0, 5.0, 5.0, 90.0, 5.0]","['salad', 1.0, 5.0, 7.0, 100.0, 5.0]","['carrots', 5.0, 5.0, 10.0, 90.0, 3.0]","['carrots', 5.0, 5.0, 10.0, 90.0, 1.0]","['broccoli', 5.0, 5.0, 8.5, 90.0, 5.0]","['broccoli', 5.0, 5.0, 10.0, 90.0, 5.0]","['beef', 5.0, 5.0, 7.0, 90.0, 5.0]","['soup', 5.0, 5.0, 5.0, 95.0, 2.0]",,,,,,,,,,,,,,,,,,
